fecha;pormedioVenta
09.03.2025;59,98
11.03.2025;72,97
12.03.2025;68,5
13.03.2025;55,41
15.03.2025;62,38
16.03.2025;39,99
17.03.2025;62,38
18.03.2025;57,33
19.03.2025;56,55
20.03.2025;66,2
21.03.2025;55,0
22.03.2025;56,0
25.03.2025;54,8
26.03.2025;69,0
27.03.2025;68,71
28.03.2025;56,0
29.03.2025;57,63
30.03.2025;57,27
31.03.2025;54,63
01.04.2025;54,99
02.04.2025;48,92
03.04.2025;55,08
04.04.2025;54,45
06.04.2025;62,5
07.04.2025;59,0
08.04.2025;62,49
09.04.2025;57,0
10.04.2025;54,98
12.04.2025;79,0
13.04.2025;48,0
14.04.2025;67,45
15.04.2025;50,97
