fecha;pormedioVenta
26.12.2024;152,11
27.12.2024;184,0
28.12.2024;155,98
29.12.2024;104,5
30.12.2024;224,98
31.12.2024;145,19
01.01.2025;183,59
02.01.2025;122,5
03.01.2025;149,74
04.01.2025;144,08
05.01.2025;177,49
06.01.2025;196,33
07.01.2025;173,65
08.01.2025;257,84
09.01.2025;199,98
10.01.2025;151,86
11.01.2025;200,0
12.01.2025;184,88
13.01.2025;182,33
14.01.2025;236,0
15.01.2025;184,66
16.01.2025;229,15
17.01.2025;258,17
18.01.2025;209,66
19.01.2025;165,0
20.01.2025;199,0
21.01.2025;224,99
22.01.2025;281,96
23.01.2025;230,0
24.01.2025;242,8
25.01.2025;213,75
26.01.2025;207,5
27.01.2025;202,75
28.01.2025;196,26
29.01.2025;209,74
30.01.2025;200,0
31.01.2025;295,21
01.02.2025;547,47
03.02.2025;206,65
04.02.2025;208,25
05.02.2025;252,29
06.02.2025;221,8
07.02.2025;190,33
08.02.2025;240,0
09.02.2025;180,0
10.02.2025;319,98
11.02.2025;249,14
12.02.2025;272,5
13.02.2025;263,75
14.02.2025;253,6
15.02.2025;293,0
16.02.2025;164,0
17.02.2025;220,0
18.02.2025;215,67
19.02.2025;231,67
20.02.2025;253,79
21.02.2025;185,0
22.02.2025;204,5
24.02.2025;223,0
25.02.2025;194,82
26.02.2025;224,79
27.02.2025;214,66
28.02.2025;397,67
01.03.2025;330,0
02.03.2025;600,0
03.03.2025;215,0
04.03.2025;190,0
05.03.2025;226,42
06.03.2025;194,5
07.03.2025;186,66
08.03.2025;320,0
09.03.2025;205,0
11.03.2025;183,48
12.03.2025;196,0
13.03.2025;268,32
14.03.2025;266,25
15.03.2025;198,0
16.03.2025;150,0
17.03.2025;239,0
18.03.2025;181,0
19.03.2025;194,7
20.03.2025;219,98
21.03.2025;243,75
22.03.2025;219,24
24.03.2025;159,0
25.03.2025;182,23
26.03.2025;165,0
27.03.2025;135,0
28.03.2025;198,75
29.03.2025;181,25
30.03.2025;156,67
31.03.2025;187,48
01.04.2025;183,75
02.04.2025;197,0
03.04.2025;205,65
04.04.2025;210,45
05.04.2025;233,91
06.04.2025;169,5
07.04.2025;202,71
08.04.2025;210,0
09.04.2025;177,46
10.04.2025;251,6
