fecha;pormedioVenta
12.03.2025;37,43
13.03.2025;41,15
14.03.2025;39,25
15.03.2025;39,5
16.03.2025;69,0
17.03.2025;41,66
18.03.2025;56,31
19.03.2025;40,28
21.03.2025;41,71
22.03.2025;35,37
23.03.2025;41,17
24.03.2025;44,47
25.03.2025;44,9
26.03.2025;40,0
27.03.2025;44,34
28.03.2025;49,75
29.03.2025;40,5
30.03.2025;37,5
31.03.2025;41,95
01.04.2025;43,62
02.04.2025;44,4
03.04.2025;44,95
04.04.2025;43,29
05.04.2025;41,66
08.04.2025;38,45
09.04.2025;53,17
10.04.2025;40,0
11.04.2025;64,96
12.04.2025;68,14
13.04.2025;42,98
14.04.2025;43,72
15.04.2025;48,71
