fecha;pormedioVenta
27.01.2025;29,72
28.01.2025;19,86
29.01.2025;18,89
30.01.2025;19,4
31.01.2025;18,49
01.02.2025;18,92
02.02.2025;40,97
03.02.2025;19,99
04.02.2025;21,98
05.02.2025;22,85
06.02.2025;23,33
07.02.2025;23,5
08.02.2025;26,07
09.02.2025;24,83
10.02.2025;25,0
11.02.2025;22,99
12.02.2025;23,93
13.02.2025;21,63
14.02.2025;24,16
15.02.2025;25,11
16.02.2025;26,0
17.02.2025;23,99
18.02.2025;27,64
19.02.2025;24,04
20.02.2025;23,21
21.02.2025;35,0
22.02.2025;22,98
23.02.2025;25,66
24.02.2025;24,85
25.02.2025;26,75
26.02.2025;35,94
27.02.2025;24,0
28.02.2025;25,3
01.03.2025;26,26
02.03.2025;24,95
03.03.2025;31,3
04.03.2025;25,0
05.03.2025;24,75
06.03.2025;25,96
07.03.2025;27,63
08.03.2025;26,63
09.03.2025;28,9
10.03.2025;27,0
11.03.2025;29,48
12.03.2025;25,6
13.03.2025;33,0
14.03.2025;28,0
15.03.2025;26,74
16.03.2025;30,0
17.03.2025;29,5
18.03.2025;29,3
19.03.2025;38,26
20.03.2025;28,5
21.03.2025;30,98
22.03.2025;30,0
23.03.2025;28,15
24.03.2025;23,0
25.03.2025;29,24
26.03.2025;28,0
27.03.2025;28,99
28.03.2025;30,72
29.03.2025;31,5
31.03.2025;33,33
01.04.2025;34,37
02.04.2025;30,13
03.04.2025;69,49
04.04.2025;38,0
05.04.2025;25,5
08.04.2025;61,8
09.04.2025;34,71
11.04.2025;33,31
12.04.2025;31,4
13.04.2025;31,65
14.04.2025;29,98
15.04.2025;30,0
