idOferta;nick;pais;tipoVendedor;ventas;stock;language;quality;hayIconoEsp;iconoEsp;hayFoto;hayComentario;comentario;quantity;precio;moneda;finiOferta;ffinOferta
articleRow1810628361;OldAmberTCG;Czech Republic;Private;571,0;1172,0;English;LP;False;-;False;True;Cheap shipping :);1;44,99;€;2025-04-14;2025-04-16
articleRow1822382689;Pokehandel2508;Germany;Private;44,0;8,0;German;NM;False;-;False;False;-;1;48,0;€;2025-04-14;2025-04-16
articleRow1820905386;Bedirhany37;Belgium;Private;144,0;100,0;English;NM;False;-;False;False;-;1;49,9;€;2025-04-14;
articleRow1660523586;Zukula;Denmark;Private;2552,0;147,0;English;LP;False;-;False;False;-;1;49,95;€;2025-04-14;
articleRow1820962830;TheVinch;Italy;Private;11,0;99,0;English;NM;False;-;False;False;-;1;49,95;€;2025-04-14;
articleRow1808948417;Pugs222;Slovenia;Private;402,0;356,0;English;NM;False;-;False;False;-;1;50,0;€;2025-04-14;
articleRow1813813022;Myana;Spain;Private;218,0;41,0;Spanish;NM;False;-;False;False;-;1;50,0;€;2025-04-14;2025-04-16
articleRow1819359682;Skitster;Germany;Private;9,0;1,0;German;NM;False;-;False;False;-;1;50,0;€;2025-04-14;
articleRow1822071899;Tschillig;Austria;Private;1,0;60,0;German;NM;False;-;False;True;Ask for Pictures if needed. Many more Cards for sale!;1;50,0;€;2025-04-14;
articleRow1819038285;ANIGAME;Austria;Professional;273,0;793,0;German;EX;False;-;False;False;-;1;50,35;€;2025-04-14;2025-04-16
articleRow1816132177;Ginko92;Germany;Private;117,0;78,0;German;NM;False;-;True;True;Near mint;1;50,49;€;2025-04-14;2025-04-16
articleRow1820533637;ElonMuskow;Germany;Private;60,0;108,0;German;NM;False;-;False;True;Booster Fresh --> Sleeve --> Toploader;1;50,99;€;2025-04-14;
articleRow1794377172;Kriegergilde;Germany;Professional;1736,0;3423,0;German;EX;False;-;False;False;-;1;52,0;€;2025-04-14;
articleRow1818342602;VaniXcs;Germany;Private;6,0;55,0;English;NM;False;-;False;True;Sammlungsauflösung! More High end Cards in stock! Fast Shipping;1;52,99;€;2025-04-14;2025-04-16
articleRow1779420369;xTirun;Austria;Private;175,0;76,0;English;NM;False;-;False;False;-;1;53,0;€;2025-04-14;
articleRow1804696135;Spookytowley;Austria;Private;102,0;90,0;German;NM;False;-;False;False;-;1;53,0;€;2025-04-14;
articleRow1816874108;Milly-Smiles;Germany;Private;10,0;11,0;German;NM;False;-;False;False;-;1;53,0;€;2025-04-14;
articleRow1808839612;silvyu55;Romania;Private;4,0;3653,0;German;NM;False;-;False;False;-;1;53,0;€;2025-04-14;
articleRow1822386910;TheCardPlaceGermany;Germany;Professional;7665,0;718,0;German;NM;False;-;False;False;-;1;53,9;€;2025-04-14;
articleRow1822827013;Axxiora;Germany;Private;194,0;88,0;English;NM;False;-;False;True;Auflösung;1;53,99;€;2025-04-14;2025-04-16
articleRow1816129721;Talos56;Germany;Private;6,0;16,0;English;NM;False;-;True;False;-;1;54,0;€;2025-04-14;
articleRow1822692831;Kamil119;Slovakia;Private;97,0;794,0;English;NM;False;-;False;True;ask for pics , perfect condition , sleeve and toploader;1;54,87;€;2025-04-14;
articleRow1813263945;GGvelDone;Germany;Private;313,0;63,0;English;NM;False;-;False;True;Booster to Sleeve + Toploader / More Cards on Stock;2;54,89;€;2025-04-14;
articleRow1821677004;TCGWarehouse;Germany;Professional;35293,0;4618,0;German;NM;False;-;False;True;Fast and secure shipping in air bubble envelope!!! #05701;1;54,95;€;2025-04-14;
articleRow1791981055;BladersEmporium;Netherlands;Private;1361,0;163,0;English;NM;False;-;False;False;-;1;54,95;€;2025-04-14;
articleRow1812019119;Pokemondeal;Netherlands;Private;1596,0;121,0;English;NM;False;-;False;False;-;1;54,98;€;2025-04-14;
articleRow1820744583;Metropolis-Center;Spain;Private;82934,0;209110,0;English;NM;False;-;False;True;Since 1996 - TOP SERVICE;1;54,99;€;2025-04-14;
articleRow1810918118;TCGGold-Cards;Germany;Professional;27495,0;855,0;German;NM;False;-;False;False;-;1;54,99;€;2025-04-14;
articleRow1790113622;Jaysoj;Austria;Private;306,0;49,0;English;NM;False;-;False;False;-;1;54,99;€;2025-04-14;
articleRow1821905959;Razza;Germany;Private;637,0;264,0;German;NM;False;-;False;True;Boosterfrisch;1;55,0;€;2025-04-14;
articleRow1814232113;RODMENlp;Czech Republic;Private;599,0;2801,0;English;EX;False;-;False;True;Ask for Photos;1;55,0;€;2025-04-14;2025-04-16
articleRow1812145793;Isiseeveemaster;Netherlands;Private;223,0;117,0;English;NM;False;-;False;False;-;1;55,0;€;2025-04-14;
