idOferta;nick;pais;tipoVendedor;ventas;stock;language;quality;hayIconoEsp;iconoEsp;hayFoto;hayComentario;comentario;quantity;precio;moneda;finiOferta;ffinOferta
articleRow1535219141;Rinus68;Netherlands;Private;1085,0;17511,0;English;PO;True;First Edition;False;False;-;1;1,5;€;2025-02-01;2025-03-23
articleRow1389852431;ManaTrust;Italy;Private;116692,0;26514,0;English;PO;True;First Edition;False;True;SHABADU _*HUGE STOCK AND FAIR GRADING*_ _*Daily Shipments - Top Packaging*_;2;2,95;€;2025-02-01;
articleRow1454812612;Eendebek;Belgium;Private;895,0;34093,0;English;PO;True;First Edition;False;False;-;1;2,95;€;2025-02-01;
articleRow1720692776;Pokekiz;United Kingdom;Private;175,0;864,0;English;PO;True;First Edition;False;True;1st edition;2;3,08;€;2025-02-01;2025-03-25
articleRow1621278317;LegendaryCards;Netherlands;Professional;3316,0;3797,0;English;PL;True;First Edition;False;True;SAFEST FASTEST CHEAPEST!;1;3,9;€;2025-02-01;
articleRow1755580358;Mikkelterp;Denmark;Private;107,0;715,0;English;EX;True;First Edition;False;False;-;1;3,95;€;2025-02-01;2025-03-23
articleRow1624836047;SinnohShop;Netherlands;Professional;14174,0;6846,0;English;EX;True;First Edition;False;True;8-10 See pics, Double sleeved, daily shipping;3;4,49;€;2025-02-01;2025-02-19
articleRow1704314195;SinnohShop;Netherlands;Professional;14572,0;7442,0;English;EX;True;First Edition;False;True;13,14, 16, 17 See pics, Double sleeved, daily shipping;2;4,49;€;2025-02-01;2025-03-11
articleRow1621277502;LegendaryCards;Netherlands;Professional;3316,0;3797,0;English;GD;True;First Edition;False;True;SAFEST FASTEST CHEAPEST!;3;4,95;€;2025-02-01;
articleRow1771676015;slvr223;Germany;Private;28,0;378,0;English;EX;True;First Edition;True;True;Fast shipping - More photos in PM;1;5,25;€;2025-02-01;2025-02-16
articleRow1759909796;CardsFaster;Germany;Private;53,0;1210,0;English;EX;True;First Edition;True;True;See picture // sleeve+toploader;1;5,94;€;2025-02-01;2025-04-08
articleRow1212708526;Card-foundry;Germany;Professional;31000,0;78689,0;English;EX;True;First Edition;False;True;Thousands of cards available :);7;5,95;€;2025-02-01;2025-02-04
articleRow1621276993;LegendaryCards;Netherlands;Professional;3316,0;3797,0;English;EX;True;First Edition;False;True;SAFEST FASTEST CHEAPEST!;4;6,5;€;2025-02-01;
articleRow1642295115;jariben;Spain;Private;421,0;62,0;English;EX;True;First Edition;False;True;Fast Shipping! Check for more Stock!;1;6,95;€;2025-02-01;2025-04-14
articleRow1681700953;Patti261;Denmark;Private;292,0;1114,0;English;NM;True;First Edition;False;True;trusted seller - fast shipping;1;7,0;€;2025-02-01;2025-04-07
