idOferta;nick;pais;tipoVendedor;ventas;stock;language;quality;hayIconoEsp;iconoEsp;hayFoto;hayComentario;comentario;quantity;precio;moneda;finiOferta;ffinOferta
articleRow1744915360;SilverVenom;Germany;Private;23,0;2,0;German;PO;False;-;False;True;Mit Toploader;1;10,0;€;2025-02-26;
articleRow1708455048;Val995;Finland;Private;982,0;4663,0;English;PO;False;-;True;True;Y3;1;10,95;€;2025-02-26;2025-03-26
articleRow1486193214;lucacecco02;Italy;Private;200,0;12,0;Italian;PO;False;-;False;False;-;1;12,0;€;2025-02-26;
articleRow1770476746;Diapson;Italy;Professional;5522,0;1936,0;Italian;PO;False;-;False;True;K-3;1;12,99;€;2025-02-26;
articleRow1768515340;Plegu;Finland;Private;33,0;1094,0;English;PO;False;-;True;True;ask for pics - more vintage HOLOS available!;1;14,99;€;2025-02-26;
articleRow1400065996;DailyTrading;Italy;Professional;22934,0;57784,0;Italian;PO;False;-;False;True;~ DailyTrading ~;1;15,0;€;2025-02-26;
articleRow1211915242;TCGringotts;Germany;Professional;31803,0;17840,0;German;PO;False;-;False;False;-;1;16,0;€;2025-02-26;
articleRow1759349087;ReCollectibles;Germany;Private;63883,0;4029,0;German;LP;False;-;False;True;DIFF-278293-LP-DE;1;19,99;€;2025-02-26;2025-04-07
articleRow1470685291;CelebiCollectables;Netherlands;Professional;5920,0;33867,0;English;PL;False;-;False;True;Thousands of English and Japanese Cards Available! Holo's and Bulk! Old + Modern!;1;19,99;€;2025-02-26;
articleRow1493931630;Lorek;Germany;Private;672,0;138,0;German;LP;False;-;False;False;-;1;24,2;€;2025-02-26;
articleRow1779276936;DerHaarische;Germany;Private;406,0;874,0;German;LP;False;-;False;False;-;1;25,0;€;2025-02-26;
articleRow1492932037;CardGameCorner;Italy;Private;125608,0;192585,0;Italian;PO;False;-;False;False;-;1;25,74;€;2025-02-26;
articleRow1749335178;KG1910;Germany;Private;58,0;3,0;German;GD;False;-;False;True;gute Vorderseite, schlechte Rückseite (pls ask for pics);1;29,0;€;2025-02-26;2025-03-08
articleRow1790358652;MagicVortex;Belgium;Private;42966,0;13966,0;English;PL;False;-;False;False;-;1;30,0;€;2025-02-26;
articleRow1768012819;LaConteaCaG;Italy;Professional;3654,0;1340,0;English;PL;False;-;False;False;-;1;30,0;€;2025-02-26;
articleRow1790420016;cristianlr680;Italy;Private;30,0;100,0;Italian;LP;False;-;False;False;-;1;30,0;€;2025-02-26;2025-02-28
articleRow1774883276;CreckoTCG;Austria;Private;16,0;21,0;German;LP;False;-;False;True;Graded SAC 5.0 LP condition;1;30,0;€;2025-02-26;2025-03-06
articleRow1700300864;nathanptcg;United Kingdom;Professional;3038,0;6903,0;English;PL;False;-;False;True;ASK FOR PHOTOS Daily shipping / shipped sleeved & toploaded;1;32,26;€;2025-02-26;2025-02-27
articleRow1779841857;Games-Island;Germany;Private;513869,0;29528,0;German;PO;False;-;False;True;Buy from the biggest TCG-Onlineshop in Europe! // BOX  - 1066 X;1;32,79;€;2025-02-26;2025-02-28
articleRow1485295639;DN-Cards;Germany;Professional;7143,0;20448,0;German;GD;False;-;True;False;-;1;34,99;€;2025-02-26;2025-03-18
