idOferta;nick;pais;tipoVendedor;ventas;stock;language;quality;hayIconoEsp;iconoEsp;hayFoto;hayComentario;comentario;quantity;precio;moneda;finiOferta;ffinOferta
articleRow1774730952;Derdome93;Germany;Private;530,0;2245,0;Korean;EX;False;-;True;True;Small dot in top right/boosterfresh;1;139,0;€;2025-02-01;2025-02-05
articleRow1773443122;mkon2024;Poland;Private;42,0;62,0;Korean;NM;False;-;False;True;ask for photos;1;169,0;€;2025-02-01;2025-02-05
articleRow1774530576;kobeseiguzzo;Italy;Private;1,0;109,0;Korean;NM;False;-;False;True;ask for photos;1;170,0;€;2025-02-01;2025-03-26
articleRow1778476499;Card-Trader24;Germany;Professional;78845,0;9200,0;Korean;NM;False;-;False;True;VIT;1;173,0;€;2025-02-01;2025-02-04
articleRow1772080359;LasseRelaxo;Germany;Private;2,0;2,0;Korean;NM;False;-;True;True;Full evolution is available for 5 euro more;1;175,0;€;2025-02-01;2025-02-04
articleRow1774764027;no300102;Netherlands;Private;108,0;132,0;Japanese;NM;False;-;False;True;All cards come with sleeve & top loader! Quick shipping!;1;185,0;€;2025-02-01;2025-02-04
articleRow1773752375;TmarkT;Switzerland;Private;80,0;47,0;Japanese;NM;False;-;True;True;Booster to Sleeve;1;197,0;€;2025-02-01;2025-02-04
articleRow1772698845;Babaracus94;Netherlands;Private;354,0;122,0;Japanese;NM;False;-;False;True;Fresh from pack, double sleeve;1;199,0;€;2025-02-01;2025-02-04
articleRow1777333725;Jelle17;Netherlands;Private;4,0;29,0;Japanese;NM;False;-;False;True;Message for pics, New seller :);1;199,5;€;2025-02-01;2025-02-04
articleRow1775107325;CardEmpireSK;Slovakia;Professional;27646,0;31107,0;Korean;NM;False;-;False;True;Wide selection, B2B possible;2;199,99;€;2025-02-01;2025-02-16
articleRow1773872332;Yorloma96;Spain;Private;83,0;32,0;Japanese;NM;False;-;False;False;-;1;200,0;€;2025-02-01;2025-02-04
articleRow1770528574;Hastemalfeuer94;Germany;Private;34,0;583,0;Japanese;NM;False;-;False;False;-;3;200,0;€;2025-02-01;2025-02-04
articleRow1681175217;Andre1903;Italy;Private;0,0;2,0;S-Chinese;NM;False;-;True;False;-;1;200,0;€;2025-02-01;
articleRow1767928839;KEEPSEVEN;Germany;Professional;26889,0;5165,0;Japanese;NM;False;-;False;True;Your LGS based in Lübeck | ##A146.838##;1;208,95;€;2025-02-01;2025-02-19
articleRow1772700445;PKBirds;France;Private;106,0;132,0;Japanese;NM;False;-;False;True;Sortie de Booster;1;209,95;€;2025-02-01;2025-02-04
articleRow1772064904;Ercan93;Germany;Private;26,0;501,0;Japanese;NM;False;-;False;True;Very Clean, In Toploader - schneller Versand;1;219,95;€;2025-02-01;
