idOferta;nick;pais;tipoVendedor;ventas;stock;language;quality;hayIconoEsp;iconoEsp;hayFoto;hayComentario;comentario;quantity;precio;moneda;finiOferta;ffinOferta
articleRow1811740844;RenegadeSafe;Spain;Private;0,0;2,0;Korean;NM;False;-;True;True;booster to toploader;1;63,5;€;2025-04-14;
articleRow1811605338;ShinyTCG;France;Professional;71,0;97,0;Japanese;EX;False;-;False;False;-;1;64,0;€;2025-04-14;2025-04-16
articleRow1812314147;Mr-Miyu;France;Private;10,0;46,0;Japanese;NM;False;-;False;False;-;1;65,0;€;2025-04-14;
articleRow1803920586;riccardocasu;Italy;Private;1665,0;309,0;Japanese;NM;False;-;False;False;-;1;66,98;€;2025-04-14;2025-04-16
articleRow1819009804;Komorebi-Cards;Sweden;Professional;449,0;262,0;Japanese;NM;False;-;False;False;-;1;67,88;€;2025-04-14;
articleRow1816671448;ShinyTCG;France;Professional;71,0;97,0;Japanese;NM;False;-;False;False;-;1;67,89;€;2025-04-14;2025-04-16
articleRow1807900219;Tenkin;France;Private;18,0;18,0;Japanese;NM;False;-;True;True;Sleeve + Toploader ask for photo;1;67,98;€;2025-04-14;
articleRow1814618097;FlynnOxx;Netherlands;Professional;3788,0;499,0;Japanese;EX;False;-;True;True;Excellent cards may have some white dots or light scuffs on the surface 9903;1;67,99;€;2025-04-14;2025-04-16
articleRow1806653748;Poketu;Spain;Private;13,0;13,0;Korean;NM;False;-;True;False;-;1;69,0;€;2025-04-14;
articleRow1819888384;lemonfresh;France;Private;148,0;392,0;Japanese;NM;False;-;False;False;-;1;69,99;€;2025-04-14;
articleRow1820154273;KemoniaCardsLab;Italy;Professional;909,0;646,0;Japanese;NM;False;-;False;True;Japanese seller! Check my store!;6;70,0;€;2025-04-14;2025-04-16
articleRow1803701817;easycompany;Netherlands;Private;380,0;1273,0;Japanese;NM;False;-;False;True;Fast shipping!;1;70,0;€;2025-04-14;
articleRow1821916388;Brat24;France;Private;157,0;9,0;Japanese;NM;False;-;True;True;Plusieurs sv2a dispo;1;70,0;€;2025-04-14;2025-04-14
articleRow1812875788;Desruthless;Ireland;Private;117,0;89,0;Japanese;NM;False;-;False;False;-;1;70,0;€;2025-04-14;
articleRow1820127643;Crona89;Italy;Private;92,0;390,0;Korean;NM;False;-;True;True;That white hand on your shoulder, it's not real.;1;70,0;€;2025-04-14;
articleRow1816674361;ShinyTCG;France;Professional;71,0;97,0;Japanese;MT;False;-;False;True;PSA 9;1;70,0;€;2025-04-14;2025-04-16
articleRow1821123938;Lebrelilla;Spain;Private;0,0;92,0;Japanese;NM;False;-;True;False;-;1;70,0;€;2025-04-14;
articleRow1815924619;adrivela;Spain;Private;0,0;4,0;Japanese;NM;False;-;True;True;It was taken out of the envelope and put into a sleeve and a toploader automatically, very well cent;1;70,0;€;2025-04-14;
