idOferta;nick;pais;tipoVendedor;ventas;stock;language;quality;hayIconoEsp;iconoEsp;hayFoto;hayComentario;comentario;quantity;precio;moneda;finiOferta;ffinOferta
articleRow1784308392;rdimh;Netherlands;Private;91,0;100,0;Japanese;NM;False;-;True;True;2;1;23,99;€;2025-02-26;2025-03-01
articleRow1784308419;rdimh;Netherlands;Private;91,0;102,0;Japanese;NM;False;-;True;True;3;1;23,99;€;2025-02-26;2025-02-28
articleRow1789737475;JAPPACARDS;Netherlands;Professional;2031,0;324,0;Japanese;NM;False;-;False;True;Lots of Japanese cards available!;1;24,88;€;2025-02-26;2025-03-02
articleRow1783944126;TcgReus;Netherlands;Professional;402,0;106,0;Japanese;NM;False;-;False;False;-;1;24,9;€;2025-02-26;2025-03-04
articleRow1774784010;IKSGAMES;Netherlands;Private;501,0;210,0;Japanese;NM;False;-;False;True;Near mint;1;24,95;€;2025-02-26;2025-03-02
articleRow1577663070;TKB-Cards;Germany;Professional;30608,0;28634,0;Japanese;EX;False;-;False;True;1 - TOP - 03 - F;1;24,99;€;2025-02-26;2025-03-06
articleRow1793127261;Pokecraic;Ireland;Professional;5841,0;2422,0;Japanese;NM;False;-;False;True;NM/M;1;25,0;€;2025-02-26;2025-03-01
articleRow1786297636;EastwoodTCG;Netherlands;Professional;608,0;2408,0;Japanese;NM;False;-;False;False;-;1;25,0;€;2025-02-26;2025-03-04
articleRow1763263011;Ottiej;Netherlands;Private;477,0;2311,0;Japanese;NM;False;-;False;True;map7;1;25,0;€;2025-02-26;2025-03-08
articleRow1781697353;LucarioHunter;Netherlands;Private;222,0;69,0;Japanese;NM;False;-;False;True;packfresh;1;25,0;€;2025-02-26;2025-03-08
articleRow1793488065;PokeDeyvid;Germany;Private;173,0;12,0;Japanese;NM;False;-;False;True;Booster>Sleeve>Toploader;1;25,0;€;2025-02-26;2025-03-05
articleRow1793387431;Cardtex;Germany;Professional;10915,0;12630,0;Japanese;EX;False;-;False;True;P-77C;2;27,0;€;2025-02-26;2025-03-18
articleRow1569120462;Hampus9023;Sweden;Private;70,0;55,0;Japanese;MT;False;-;False;True;Just ask for pictures! Great centering;1;27,99;€;2025-02-26;
articleRow1785838681;vjguitart;Spain;Private;59,0;378,0;Korean;NM;False;-;False;False;-;1;28,0;€;2025-02-26;2025-03-23
articleRow1781640388;PokeTrov;Slovakia;Professional;587,0;498,0;Japanese;NM;False;-;False;True;fresh open;2;29,0;€;2025-02-26;2025-03-25
articleRow1790194434;Foxxy;Germany;Professional;598,0;4481,0;Japanese;NM;False;-;False;False;-;1;29,49;€;2025-02-26;2025-03-10
articleRow1785916120;Poke-Weber;Germany;Professional;994,0;715,0;Japanese;NM;False;-;False;False;-;3;29,9;€;2025-02-26;2025-03-01
articleRow1545571679;FrankyManky;Germany;Private;851,0;420,0;Japanese;NM;False;-;False;True;Booster -> Sleeve -> Toploader;1;29,9;€;2025-02-26;2025-03-10
articleRow1793443389;PoKeMon-DBS;Italy;Private;492,0;2508,0;Japanese;NM;False;-;False;True;All 151 cards available from 166 to 210;2;29,9;€;2025-02-26;2025-03-02
articleRow1789347245;Pokebos01;Netherlands;Private;18,0;139,0;Japanese;NM;False;-;True;True;nm+ ask for more pictures;1;29,95;€;2025-02-26;2025-03-10
articleRow1667685270;BulldogCardTraders;United Kingdom;Professional;24185,0;1505,0;Japanese;NM;False;-;False;False;-;1;29,99;€;2025-02-26;
articleRow1760472411;renatus-booole;Italy;Private;1780,0;7222,0;Japanese;NM;False;-;False;False;-;1;29,99;€;2025-02-26;2025-04-07
articleRow1711564959;ChimeraCollectibles;Italy;Professional;4501,0;8552,0;Korean;NM;False;-;False;False;-;1;30,0;€;2025-02-26;2025-04-07
articleRow1689237063;apokleee;Germany;Private;194,0;355,0;Japanese;NM;False;-;False;True;from Booster to Sleeve;1;30,0;€;2025-02-26;2025-03-04
articleRow1791479348;Pedrone90;Italy;Private;186,0;123,0;Japanese;NM;False;-;True;False;-;1;30,0;€;2025-02-26;2025-04-07
articleRow1698259570;krysler;Netherlands;Private;129,0;74,0;Japanese;NM;False;-;False;True;Sleeved :);1;30,0;€;2025-02-26;2025-03-13
articleRow1790860566;Oihhh;Spain;Private;52,0;73,0;Japanese;NM;False;-;False;True;Booster to Sleeve / Fast Shipping;1;30,0;€;2025-02-26;2025-03-10
articleRow1664939870;Game-Knight;Denmark;Professional;2043,0;204,0;Korean;NM;False;-;False;False;-;1;30,02;€;2025-02-26;
articleRow1792665429;Pokemarketfr;France;Private;26,0;22,0;S-Chinese;NM;False;-;False;True;Sorti de booster Sous sleeve+TopLoader envoi soigné;1;31,0;€;2025-02-26;2025-03-08
articleRow1687481677;ctephany;France;Private;61,0;15,0;Japanese;NM;False;-;False;False;-;1;33,0;€;2025-02-26;2025-03-18
articleRow1790095938;Stephyllali;France;Private;76,0;478,0;Japanese;NM;False;-;False;True;Plein de carte dispo - envoi rapide;1;34,0;€;2025-02-26;2025-03-18
articleRow1789471293;Makimaki;France;Private;117,0;1359,0;Japanese;NM;False;-;False;True;SHIPPED FROM FRANCE;1;34,9;€;2025-02-26;2025-03-23
articleRow1761660168;vlc73;Spain;Private;442,0;67,0;Japanese;MT;False;-;False;True;european grading 9;1;35,0;€;2025-02-26;2025-03-09
articleRow1791225244;Ermyneo;Italy;Private;249,0;227,0;Japanese;NM;False;-;False;True;A lot of Jap cards!;1;35,0;€;2025-02-26;2025-03-09
articleRow1593700970;Moggefar;Denmark;Private;128,0;6675,0;Japanese;NM;False;-;True;False;-;1;35,0;€;2025-02-26;
articleRow1741632028;phoze420;Poland;Private;48,0;1515,0;Japanese;NM;False;-;False;True;booster ->> sleeve ->> toploader;1;35,0;€;2025-02-26;
articleRow1632836883;Skorpion1705;Germany;Private;3,0;1,0;Korean;NM;False;-;False;False;-;1;35,0;€;2025-02-26;
articleRow1504835467;thomasvd1990;Belgium;Private;133,0;242,0;Japanese;NM;False;-;False;False;-;1;39,75;€;2025-02-26;
articleRow1793852152;Frikea;Spain;Private;1813,0;3818,0;Japanese;NM;False;-;False;False;-;1;39,95;€;2025-02-26;2025-03-03
articleRow1785926662;Kantoveteran;Austria;Private;158,0;21504,0;Japanese;NM;False;-;False;False;-;1;39,99;€;2025-02-26;
articleRow1757913998;DonHoosus;Germany;Private;3,0;6,0;Japanese;NM;False;-;True;True;PSA9 ... Bilder auf Anfrage;1;40,0;€;2025-02-26;
articleRow1675982166;DevDoubleD;Germany;Private;4,0;2,0;Japanese;MT;False;-;True;True;Sleeved & TopLoaded mint+ PGS 9,5;1;45,0;€;2025-02-26;
articleRow1623979909;Redfefo90;Italy;Private;1,0;38,0;Japanese;MT;False;-;True;True;PSA 9;1;45,0;€;2025-02-26;2025-03-04
articleRow1536360593;Ilona929292;Netherlands;Private;0,0;1,0;Japanese;MT;False;-;False;False;-;1;45,0;€;2025-02-26;
articleRow1497329420;Vidiny;Germany;Professional;3225,0;5815,0;Japanese;NM;False;-;False;False;-;3;53,99;€;2025-02-26;
articleRow1777224193;MANARINE;Switzerland;Professional;1455,0;46634,0;Japanese;NM;False;-;False;True;* NM++ / Fair Pro Grading;1;65,0;€;2025-02-26;
articleRow1496672657;Serzots264;Spain;Private;99,0;108,0;Japanese;NM;False;-;False;True;Free gift with every purchase;1;75,0;€;2025-02-26;
articleRow1781549736;CheckpointGallarate;Italy;Professional;2178,0;22158,0;Japanese;EX;False;-;False;False;-;1;90,09;€;2025-02-26;2025-02-27
articleRow1793536050;Pokenerd9;Netherlands;Private;189,0;153,0;Japanese;MT;False;-;False;True;PSA 10;1;95,0;€;2025-02-26;2025-03-23
articleRow1532506558;Gradedstore;Italy;Professional;3759,0;19969,0;Japanese;NM;False;-;False;True;BGS 9;1;99,99;€;2025-02-26;
articleRow1508999607;asier90;Spain;Private;3,0;14,0;Korean;MT;False;-;True;False;-;1;100,0;€;2025-02-26;
articleRow1585027133;Antelitsch;Germany;Private;19,0;14,0;Japanese;MT;False;-;False;True;PSA 10;1;125,0;€;2025-02-26;
articleRow1792653926;IRRANKS;France;Private;30,0;27,0;Korean;MT;False;-;False;True;CCC 10;1;150,0;€;2025-02-26;2025-03-23
articleRow1781549736;CheckpointGallarate;Italy;Professional;2186,0;22067,0;Japanese;EX;False;-;False;False;-;1;90,08;€;2025-02-27;2025-02-28
articleRow1794421648;Manoka98;Germany;Private;751,0;1920,0;Japanese;MT;False;-;False;True;psa10;1;120,0;€;2025-02-27;
articleRow1781549736;CheckpointGallarate;Italy;Professional;2194,0;22049,0;Japanese;EX;False;-;False;False;-;1;90,07;€;2025-02-28;2025-03-01
articleRow1795686086;JordiJonker;Netherlands;Private;4,0;150,0;Japanese;NM;False;-;True;False;-;1;29,0;€;2025-03-01;2025-03-13
articleRow1795284995;Poke-Weber;Germany;Professional;1015,0;734,0;Japanese;NM;False;-;False;False;-;1;39,9;€;2025-03-01;2025-03-18
articleRow1772835100;Rogier1975;Netherlands;Private;265,0;208,0;Japanese;MT;False;-;False;True;GG10 - ask for pictures;1;65,0;€;2025-03-01;
articleRow1781549736;CheckpointGallarate;Italy;Professional;2198,0;21976,0;Japanese;EX;False;-;False;False;-;1;90,06;€;2025-03-01;2025-03-02
articleRow1795996982;PoKeMon-DBS;Italy;Private;495,0;2496,0;Japanese;NM;False;-;False;True;All 151 cards available from 166 to 210;2;29,9;€;2025-03-02;2025-03-03
articleRow1796279920;Smeraldo;France;Private;2,0;18,0;Japanese;MT;False;-;False;True;Psa9;1;39,0;€;2025-03-02;
articleRow1781549736;CheckpointGallarate;Italy;Professional;2198,0;22070,0;Japanese;EX;False;-;False;False;-;1;90,05;€;2025-03-02;2025-03-03
articleRow1796817548;Pokemoncollector2001;Netherlands;Private;594,0;2439,0;Japanese;NM;False;-;False;False;-;1;24,0;€;2025-03-03;2025-03-04
articleRow1795996982;PoKeMon-DBS;Italy;Private;495,0;2471,0;Japanese;NM;False;-;False;True;All 151 cards available from 166 to 210;1;29,9;€;2025-03-03;2025-03-08
articleRow1793852152;Frikea;Spain;Private;1974,0;3595,0;Japanese;NM;False;-;True;False;-;1;49,95;€;2025-03-03;
articleRow1781549736;CheckpointGallarate;Italy;Professional;2198,0;22044,0;Japanese;EX;False;-;False;False;-;1;90,04;€;2025-03-03;2025-03-04
articleRow1797412494;pingendli;Hungary;Private;28,0;506,0;Japanese;NM;False;-;False;False;-;1;25,0;€;2025-03-04;2025-03-08
articleRow1797011808;paulGRs;Germany;Private;228,0;144,0;Japanese;NM;False;-;False;False;-;1;27,0;€;2025-03-04;2025-03-09
articleRow1797257123;WULLECARDS;Germany;Professional;160,0;11700,0;Japanese;NM;False;-;True;True;2-25/1 18/82;1;34,98;€;2025-03-04;2025-03-18
articleRow1689237063;apokleee;Germany;Private;208,0;539,0;Japanese;NM;False;-;False;True;from Booster to Sleeve;1;40,0;€;2025-03-04;
articleRow1781549736;CheckpointGallarate;Italy;Professional;2206,0;21968,0;Japanese;EX;False;-;False;False;-;1;90,03;€;2025-03-04;2025-03-05
articleRow1798089388;Apezoo120;Ireland;Private;1169,0;1283,0;Japanese;EX;False;-;False;False;-;1;24,0;€;2025-03-05;2025-03-13
articleRow1798150195;KingNidoTV;Switzerland;Private;457,0;49,0;Japanese;NM;False;-;False;False;-;1;28,84;€;2025-03-05;2025-03-08
articleRow1798097879;iginopk98;Italy;Professional;250,0;840,0;Japanese;NM;False;-;False;False;-;1;35,0;€;2025-03-05;2025-04-07
articleRow1781549736;CheckpointGallarate;Italy;Professional;2211,0;21981,0;Japanese;EX;False;-;False;False;-;1;90,02;€;2025-03-05;2025-03-06
