idOferta;nick;pais;tipoVendedor;ventas;stock;language;quality;hayIconoEsp;iconoEsp;hayFoto;hayComentario;comentario;quantity;precio;moneda;finiOferta;ffinOferta
articleRow1820115423;BenS11;Germany;Private;687,0;60,0;English;LP;False;-;True;True;surface issues, rest top;1;149,0;€;2025-04-14;2025-04-16
articleRow1821205345;niekumati;Poland;Private;49,0;4,0;English;NM;False;-;False;True;unsealed;1;195,0;€;2025-04-14;
articleRow1822742234;Cryozenn;Netherlands;Private;29,0;1,0;English;NM;False;-;True;True;Unsealed obtained from Intertoys NL;1;195,0;€;2025-04-14;
articleRow1819774269;Pokechase21;Netherlands;Private;10,0;70,0;English;NM;False;-;False;False;-;1;195,0;€;2025-04-14;2025-04-16
articleRow1820808043;NRWpokea1;Germany;Private;1,0;36,0;English;NM;False;-;False;False;-;1;198,0;€;2025-04-14;2025-04-16
articleRow1815051834;Pokemondenbosch;Netherlands;Professional;1535,0;7601,0;English;EX;False;-;False;True;All have some damage;6;200,0;€;2025-04-14;
articleRow1822728534;GoldRoosta;Germany;Private;234,0;400,0;English;NM;False;-;False;True;Unsealed - clean - ask for pics.;1;200,0;€;2025-04-14;2025-04-16
articleRow1818830808;Gughyy;Italy;Private;5,0;13,0;English;NM;False;-;True;True;Sealed + Toploader;1;200,0;€;2025-04-14;2025-04-16
articleRow1818097282;Jos251296;Netherlands;Private;0,0;1,0;English;NM;False;-;False;True;Sealed;1;200,0;€;2025-04-14;2025-04-16
articleRow1816686745;vulkanio;Netherlands;Private;0,0;43,0;English;NM;False;-;False;True;sealed in toploader;1;200,0;€;2025-04-14;2025-04-16
articleRow1818807075;Gamer4745;Germany;Private;215,0;32,0;English;NM;False;-;False;True;unsealed;1;204,99;€;2025-04-14;2025-04-16
articleRow1816401442;JappieW;Netherlands;Private;13,0;102,0;English;NM;False;-;True;False;-;1;205,0;€;2025-04-14;
articleRow1818111658;Calvin92;Netherlands;Private;45,0;9,0;English;NM;False;-;False;True;Sealed.;1;209,0;€;2025-04-14;
articleRow1821177443;putdeksel1;Netherlands;Private;286,0;567,0;English;NM;False;-;False;True;sealed;1;209,5;€;2025-04-14;
articleRow1801562087;Psychokiller020;Netherlands;Private;961,0;736,0;English;NM;False;-;False;True;Sealed promo!;1;210,0;€;2025-04-14;
articleRow1760189199;Skye2505;Netherlands;Private;334,0;436,0;English;NM;False;-;False;True;Unsealed;20;210,0;€;2025-04-14;
articleRow1812316617;OphalenBruggeKan;Belgium;Private;21,0;140,0;English;NM;False;-;True;True;Psa 6 , looks very clean;1;210,0;€;2025-04-14;
articleRow1822109678;ThomArts;Netherlands;Private;9,0;25,0;English;NM;False;-;True;True;Sealed;1;210,0;€;2025-04-14;2025-04-16
articleRow1792589844;pokejedo;Netherlands;Professional;992,0;6301,0;English;NM;False;-;True;True;Not sealed;1;215,0;€;2025-04-14;
articleRow1821144187;Marco0283;Austria;Private;159,0;346,0;English;MT;False;-;False;True;sealed;1;215,0;€;2025-04-14;2025-04-16
articleRow1821118714;Trade-Inn;Netherlands;Professional;28,0;1761,0;English;NM;False;-;False;True;Sealed;1;215,0;€;2025-04-14;
articleRow1802637761;MatsDC;Belgium;Private;3,0;15,0;English;NM;False;-;False;True;psa 7;1;215,0;€;2025-04-14;
articleRow1819609681;Sprengo24;Italy;Private;0,0;40,0;English;NM;False;-;True;True;PSA 8 - New seller;1;216,0;€;2025-04-14;2025-04-16
articleRow1817312477;Svenator;Netherlands;Private;51,0;1236,0;English;NM;False;-;True;True;NM/MT - Sealed product;1;216,95;€;2025-04-14;
articleRow1814240076;BrothercardsNL;Netherlands;Professional;306,0;2,0;English;NM;False;-;False;True;Psa 8;1;218,0;€;2025-04-14;
articleRow1813738437;Twinleafs;Netherlands;Professional;4380,0;5694,0;English;NM;False;-;False;True;More promo cards available! - Fast shipping - Ask for pictures!;1;219,95;€;2025-04-14;
articleRow1793367607;Artaius;Netherlands;Private;674,0;840,0;English;NM;False;-;False;True;off center - sealed;1;219,95;€;2025-04-14;
articleRow1815320685;TCG-Experts;Netherlands;Professional;7124,0;80350,0;English;NM;False;-;True;True;PSA 8;1;219,99;€;2025-04-14;
articleRow1822664148;Tariktrade;Germany;Private;2003,0;9,0;English;NM;False;-;False;True;SEALED;1;219,99;€;2025-04-14;2025-04-16
articleRow1818840460;Blacky37;Netherlands;Private;75,0;2,0;English;NM;False;-;False;True;Sealed, send in toploader with cardboard around;1;219,99;€;2025-04-14;
articleRow1812717554;rudolf33;Netherlands;Private;57,0;339,0;English;NM;False;-;False;True;unsealed , incl back card;1;219,99;€;2025-04-14;
articleRow1820328562;Teveron25;Netherlands;Private;2,0;1,0;English;MT;False;-;True;True;Sealed in original packaging, in mint condition, sturdy packaged.;1;219,99;€;2025-04-14;2025-04-16
articleRow1815064045;Realcardstrader-NL;Netherlands;Private;52,0;3108,0;English;NM;False;-;False;False;-;1;220,0;€;2025-04-14;
articleRow1818075308;Rpelhan;Netherlands;Private;35,0;13,0;English;MT;False;-;True;True;SEALED + TOPLOADER;1;220,0;€;2025-04-14;2025-04-16
articleRow1812458243;Woefwoefwoef;Netherlands;Private;0,0;1,0;English;NM;False;-;False;True;Sealed promo;1;220,0;€;2025-04-14;
articleRow1819846310;JesseSchippie;Netherlands;Private;0,0;1,0;English;MT;False;-;True;True;Unsealed for authenticity check > perfect condition;1;220,0;€;2025-04-14;2025-04-16
articleRow1822195842;Riddy024;Netherlands;Private;74,0;23,0;English;NM;False;-;False;True;Sealed from the museum;1;220,5;€;2025-04-14;
articleRow1805998770;Boompje1987;Netherlands;Private;975,0;226,0;English;NM;False;-;False;True;Sealed;1;225,0;€;2025-04-14;
articleRow1819405657;PokeSnorlax;Netherlands;Private;646,0;4635,0;English;NM;False;-;False;True;fast shipping | sealed;1;225,0;€;2025-04-14;
articleRow1789819812;Pokemon789;Netherlands;Private;377,0;4020,0;English;NM;False;-;True;True;sealed;1;225,0;€;2025-04-14;
articleRow1818544265;Faridosss;Netherlands;Private;303,0;127,0;English;NM;False;-;False;True;Sealed!;2;225,0;€;2025-04-14;2025-04-16
articleRow1814469931;hjdeheer;Netherlands;Private;98,0;3,0;English;NM;False;-;True;True;1x PSA 8 - Fresh from PSA!;1;225,0;€;2025-04-14;
articleRow1812434143;DlanorS;Netherlands;Private;97,0;20,0;English;NM;False;-;False;True;PSA 8;1;225,0;€;2025-04-14;
articleRow1817591795;Kryzzy85;Netherlands;Private;70,0;1204,0;English;NM;False;-;False;True;Graded 9 by Universal Grading Services;1;225,0;€;2025-04-14;
articleRow1793402801;Nimke-C;Belgium;Private;41,0;296,0;English;MT;False;-;False;True;Sealed;1;225,0;€;2025-04-14;
articleRow1801735965;Collectorfamily;Belgium;Private;36,0;133,0;English;NM;False;-;False;True;sealed and perfect condition;1;225,0;€;2025-04-14;
articleRow1794969663;SheeranCherry92;Netherlands;Private;32,0;770,0;English;NM;False;-;True;True;nr 1. Sleeved + hard sleeve;1;225,0;€;2025-04-14;
articleRow1816920908;Dingle;Netherlands;Private;9,0;1,0;English;NM;False;-;True;False;-;1;225,0;€;2025-04-14;
articleRow1820961483;Jeroenheida;Netherlands;Private;0,0;1,0;English;MT;False;-;True;True;Psa 9 graded;1;225,0;€;2025-04-14;2025-04-16
articleRow1820552888;fransdbruin;Netherlands;Private;0,0;3,0;English;NM;False;-;True;True;PSA 8;1;225,0;€;2025-04-14;
articleRow1768333637;MK0570;Netherlands;Private;0,0;1,0;English;NM;False;-;True;True;Sealed;1;225,0;€;2025-04-14;
articleRow1778382225;Pokebak;Netherlands;Private;678,0;5872,0;English;NM;False;-;False;False;-;1;227,0;€;2025-04-14;
articleRow1787910815;bcnetherlands;Netherlands;Private;5,0;46,0;English;NM;False;-;True;True;Sealed. Grading candidate. Ships in toploader.;1;227,5;€;2025-04-14;
articleRow1794086810;Sloaptablet;Netherlands;Private;256,0;764,0;English;NM;False;-;True;True;PSA 8;1;229,5;€;2025-04-14;
articleRow1814622304;Lostforsworn;Netherlands;Private;2,0;6,0;English;NM;False;-;False;True;Sealed! Includes toploader;1;229,95;€;2025-04-14;
articleRow1811823271;WorldofTCGShop;Germany;Professional;1276,0;373,0;English;NM;False;-;False;True;Sleeved/Toploader;1;230,0;€;2025-04-14;2025-04-16
articleRow1783247521;MarkBrust84;Netherlands;Private;716,0;14,0;English;NM;False;-;False;True;Fast Shipment!;1;230,0;€;2025-04-14;2025-04-16
articleRow1761196207;Pokebuyer2021;Netherlands;Private;648,0;1679,0;English;NM;False;-;True;True;green binder NOT SEALED;1;230,0;€;2025-04-14;
articleRow1794634929;Spiekertje;Netherlands;Private;98,0;92,0;English;NM;False;-;False;True;Psa 8;1;230,0;€;2025-04-14;
articleRow1797588842;Maggara;Finland;Private;69,0;515,0;English;NM;False;-;False;True;Sealed;1;230,0;€;2025-04-14;
articleRow1815064353;Realcardstrader-NL;Netherlands;Private;52,0;3108,0;English;NM;False;-;False;False;-;1;230,0;€;2025-04-14;
articleRow1813082224;Trappela;Netherlands;Private;37,0;142,0;English;NM;False;-;False;True;Sealed;1;230,0;€;2025-04-14;
