fecha;pormedioVenta;check
26.12.2024;2,19;
27.12.2024;0,43;
28.12.2024;1,21;
29.12.2024;0,25;
30.12.2024;1,49;
31.12.2024;1,45;
01.01.2025;0,07;
02.01.2025;3,97;
03.01.2025;1,51;
04.01.2025;0,99;
05.01.2025;2,53;
06.01.2025;0,71;
07.01.2025;1,07;
08.01.2025;0,38;
09.01.2025;1,07;
10.01.2025;0,74;
11.01.2025;0,3;
12.01.2025;0,56;
13.01.2025;1,48;
14.01.2025;0,41;
15.01.2025;1,02;
16.01.2025;1,78;
17.01.2025;0,45;
18.01.2025;0,6;
19.01.2025;0,73;
20.01.2025;1,19;
21.01.2025;1,4;
22.01.2025;0,66;
23.01.2025;0,77;
24.01.2025;1,32;
25.01.2025;1,89;
26.01.2025;0,76;
27.01.2025;0,86;
28.01.2025;3,47;
29.01.2025;0,88;
30.01.2025;1,58;
31.01.2025;0,59;
01.02.2025;0,87;
02.02.2025;1,29;
03.02.2025;1,36;
04.02.2025;0,68;
05.02.2025;1,31;
11.03.2025;0,95;
12.03.2025;4,22;
13.03.2025;1,43;
14.03.2025;1,52;
15.03.2025;1,15;
16.03.2025;0,81;
17.03.2025;2,31;
18.03.2025;1,3;
19.03.2025;2,43;
20.03.2025;1,09;
21.03.2025;0,95;
22.03.2025;0,68;
23.03.2025;0,58;
24.03.2025;2,51;
25.03.2025;1,19;
26.03.2025;1,3;
27.03.2025;0,63;
28.03.2025;0,21;
29.03.2025;0,76;
30.03.2025;1,37;
31.03.2025;0,72;
01.04.2025;0,71;
02.04.2025;0,48;
03.04.2025;0,9;
04.04.2025;1,14;
05.04.2025;0,84;
06.04.2025;0,51;
07.04.2025;1,85;
08.04.2025;0,62;
09.04.2025;0,76;
10.04.2025;0,94;
11.04.2025;0,73;
12.04.2025;1,42;
13.04.2025;2,09;
