fecha;pormedioVenta
23.10.2024;10,0
02.11.2024;8,0
07.11.2024;38,75
10.11.2024;90,0
18.11.2024;9,9
20.11.2024;53,09
23.11.2024;9,99
03.12.2024;55,0
12.12.2024;9,9
16.12.2024;38,0
28.12.2024;8,0
31.12.2024;49,99
11.01.2025;76,88
14.01.2025;70,0
23.01.2025;29,99
29.01.2025;5,99
30.01.2025;20,0
05.02.2025;20,0
16.02.2025;28,0
21.02.2025;60,0
22.02.2025;49,99
26.02.2025;79,0
27.02.2025;74,8
07.03.2025;135,0
11.03.2025;42,0
15.03.2025;34,99
16.03.2025;21,99
28.03.2025;79,95
01.04.2025;42,49
02.04.2025;29,95
