fecha;pormedioVenta
02.03.2025;55,0
04.03.2025;239,98
05.03.2025;79,99
06.03.2025;108,87
07.03.2025;126,5
09.03.2025;300,0
10.03.2025;83,0
11.03.2025;103,1
12.03.2025;87,39
13.03.2025;80,0
14.03.2025;86,96
17.03.2025;90,0
18.03.2025;300,0
19.03.2025;450,0
20.03.2025;84,52
21.03.2025;70,0
23.03.2025;77,5
24.03.2025;39,99
26.03.2025;210,0
27.03.2025;239,0
30.03.2025;75,0
01.04.2025;78,71
02.04.2025;355,0
04.04.2025;73,5
05.04.2025;263,05
07.04.2025;72,62
08.04.2025;34,95
10.04.2025;21,0
11.04.2025;117,89
13.04.2025;15,0
