fecha;pormedioVenta
08.03.2025;6,45
09.03.2025;7,25
10.03.2025;6,73
11.03.2025;5,88
12.03.2025;8,5
13.03.2025;6,65
14.03.2025;6,43
15.03.2025;12,83
16.03.2025;6,69
18.03.2025;7,62
19.03.2025;6,38
20.03.2025;6,38
21.03.2025;6,72
22.03.2025;6,49
24.03.2025;5,88
25.03.2025;6,37
26.03.2025;6,58
27.03.2025;6,97
28.03.2025;6,74
29.03.2025;6,49
30.03.2025;7,0
31.03.2025;6,96
01.04.2025;5,99
02.04.2025;6,6
03.04.2025;7,22
05.04.2025;6,76
06.04.2025;6,29
07.04.2025;6,5
08.04.2025;6,42
09.04.2025;6,62
10.04.2025;7,9
11.04.2025;6,5
12.04.2025;6,75
13.04.2025;6,76
