fecha;pormedioVenta
13.03.2025;72,41
14.03.2025;70,89
15.03.2025;70,0
16.03.2025;134,99
18.03.2025;74,93
19.03.2025;73,34
20.03.2025;91,33
21.03.2025;97,64
22.03.2025;89,03
23.03.2025;69,49
24.03.2025;69,98
25.03.2025;74,0
26.03.2025;72,8
27.03.2025;71,99
28.03.2025;75,5
29.03.2025;87,57
30.03.2025;73,95
31.03.2025;79,95
01.04.2025;72,95
02.04.2025;73,91
03.04.2025;74,95
04.04.2025;73,65
05.04.2025;72,0
06.04.2025;73,47
08.04.2025;71,36
09.04.2025;73,13
10.04.2025;86,18
11.04.2025;84,48
12.04.2025;64,99
13.04.2025;69,48
