fecha;pormedioVenta
13.03.2025;216,8
14.03.2025;224,0
15.03.2025;200,0
16.03.2025;212,5
17.03.2025;220,0
18.03.2025;205,83
19.03.2025;240,5
20.03.2025;417,5
21.03.2025;259,88
22.03.2025;214,42
23.03.2025;225,0
25.03.2025;215,0
26.03.2025;205,14
27.03.2025;270,48
28.03.2025;248,68
29.03.2025;207,65
30.03.2025;214,87
31.03.2025;222,4
01.04.2025;224,2
02.04.2025;254,92
03.04.2025;291,8
04.04.2025;298,7
05.04.2025;200,61
06.04.2025;218,79
08.04.2025;267,82
09.04.2025;215,52
10.04.2025;236,52
11.04.2025;484,16
12.04.2025;372,14
13.04.2025;384,2
