idOferta;nick;pais;tipoVendedor;ventas;stock;language;quality;hayIconoEsp;iconoEsp;hayFoto;hayComentario;comentario;quantity;precio;moneda;finiOferta;ffinOferta
articleRow1810628361;OldAmberTCG;Czech Republic;Private;571,0;1172,0;English;LP;False;-;False;True;Cheap shipping :);1;44,99;€;2025-04-14;
articleRow1822382689;Pokehandel2508;Germany;Private;44,0;8,0;German;NM;False;-;False;False;-;1;48,0;€;2025-04-14;
articleRow1820905386;Bedirhany37;Belgium;Private;144,0;103,0;English;NM;False;-;False;False;-;1;49,9;€;2025-04-14;
articleRow1660523586;Zukula;Denmark;Private;2552,0;147,0;English;LP;False;-;False;False;-;1;49,95;€;2025-04-14;
articleRow1820962830;TheVinch;Italy;Private;9,0;106,0;English;NM;False;-;False;False;-;1;49,95;€;2025-04-14;
articleRow1808948417;Pugs222;Slovenia;Private;399,0;365,0;English;NM;False;-;False;False;-;1;50,0;€;2025-04-14;
articleRow1813813022;Myana;Spain;Private;218,0;41,0;Spanish;NM;False;-;False;False;-;1;50,0;€;2025-04-14;
articleRow1819359682;Skitster;Germany;Private;9,0;1,0;German;NM;False;-;False;False;-;1;50,0;€;2025-04-14;
articleRow1822071899;Tschillig;Austria;Private;1,0;61,0;German;NM;False;-;False;True;Ask for Pictures if needed. Many more Cards for sale!;1;50,0;€;2025-04-14;
articleRow1819038285;ANIGAME;Austria;Professional;273,0;793,0;German;EX;False;-;False;False;-;1;50,35;€;2025-04-14;
articleRow1816132177;Ginko92;Germany;Private;117,0;78,0;German;NM;False;-;True;True;Near mint;1;50,49;€;2025-04-14;
articleRow1820533637;ElonMuskow;Germany;Private;53,0;117,0;German;NM;False;-;False;True;Booster Fresh --> Sleeve --> Toploader;1;50,99;€;2025-04-14;
articleRow1794377172;Kriegergilde;Germany;Professional;1736,0;3431,0;German;EX;False;-;False;False;-;1;52,0;€;2025-04-14;
articleRow1818342602;VaniXcs;Germany;Private;6,0;55,0;English;NM;False;-;False;True;Sammlungsauflösung! More High end Cards in stock! Fast Shipping;1;52,99;€;2025-04-14;
articleRow1779420369;xTirun;Austria;Private;175,0;74,0;English;NM;False;-;False;False;-;1;53,0;€;2025-04-14;
articleRow1804696135;Spookytowley;Austria;Private;102,0;90,0;German;NM;False;-;False;False;-;1;53,0;€;2025-04-14;
articleRow1816874108;Milly-Smiles;Germany;Private;10,0;11,0;German;NM;False;-;False;False;-;1;53,0;€;2025-04-14;
articleRow1808839612;silvyu55;Romania;Private;4,0;3758,0;German;NM;False;-;False;False;-;1;53,0;€;2025-04-14;
articleRow1822386910;TheCardPlaceGermany;Germany;Professional;7665,0;662,0;German;NM;False;-;False;False;-;1;53,9;€;2025-04-14;
articleRow1816129721;Talos56;Germany;Private;4,0;17,0;English;NM;False;-;True;False;-;1;54,0;€;2025-04-14;
articleRow1822692831;Kamil119;Slovakia;Private;90,0;543,0;English;NM;False;-;False;True;ask for pics , perfect condition , sleeve and toploader;1;54,87;€;2025-04-14;
articleRow1813263945;GGvelDone;Germany;Private;313,0;63,0;English;NM;False;-;False;True;Booster to Sleeve + Toploader / More Cards on Stock;2;54,89;€;2025-04-14;
articleRow1821677004;TCGWarehouse;Germany;Professional;35264,0;4661,0;German;NM;False;-;False;True;Fast and secure shipping in air bubble envelope!!! #05701;1;54,95;€;2025-04-14;
articleRow1791981055;BladersEmporium;Netherlands;Private;1349,0;171,0;English;NM;False;-;False;False;-;1;54,95;€;2025-04-14;
articleRow1812019119;Pokemondeal;Netherlands;Private;1594,0;123,0;English;NM;False;-;False;False;-;1;54,98;€;2025-04-14;
articleRow1820744583;Metropolis-Center;Spain;Private;82708,0;209332,0;English;NM;False;-;False;True;Since 1996 - TOP SERVICE;1;54,99;€;2025-04-14;
articleRow1810918118;TCGGold-Cards;Germany;Professional;27481,0;893,0;German;NM;False;-;False;False;-;1;54,99;€;2025-04-14;
articleRow1790113622;Jaysoj;Austria;Private;306,0;52,0;English;NM;False;-;False;False;-;1;54,99;€;2025-04-14;
articleRow1821905959;Razza;Germany;Private;636,0;217,0;German;NM;False;-;False;True;Boosterfrisch;1;55,0;€;2025-04-14;
articleRow1814232113;RODMENlp;Czech Republic;Private;599,0;2801,0;English;EX;False;-;False;True;Ask for Photos;1;55,0;€;2025-04-14;
articleRow1812145793;Isiseeveemaster;Netherlands;Private;223,0;118,0;English;NM;False;-;False;False;-;1;55,0;€;2025-04-14;
articleRow1809341236;Alexehd;Spain;Private;155,0;5762,0;Spanish;NM;False;-;False;True;Muchas más cartas en mi perfil!!;1;55,0;€;2025-04-14;
articleRow1797079874;Leo9210;Italy;Private;153,0;2267,0;Italian;EX;False;-;True;True;Sleeve & Top Loader - Fast shipping - lieve difetto back;1;55,0;€;2025-04-14;
articleRow1791932056;FlamelTCG;Netherlands;Private;147,0;1553,0;English;NM;False;-;False;False;-;1;55,0;€;2025-04-14;
articleRow1809948526;Justusodersoo;Germany;Private;10,0;4,0;German;NM;False;-;True;True;From Booster to Sleeve | Boosterfrisch / Shipped in Sleeve+Top Loader;1;55,0;€;2025-04-14;
articleRow1809849635;D3stroy;Spain;Private;31,0;161,0;Spanish;NM;False;-;True;True;SLEEVE >TOPLOADER POSIBLE PSA 10;1;55,9;€;2025-04-14;
articleRow1817601269;Youri013nl;Netherlands;Private;132,0;2594,0;English;NM;False;-;True;True;booster to sleeve/toploader;1;56,0;€;2025-04-14;
articleRow1819202255;DebonairCards;United Kingdom;Private;22,0;122,0;English;NM;False;-;False;False;-;1;56,98;€;2025-04-14;
articleRow1804699928;Gemtenonly;Germany;Professional;6869,0;243,0;English;NM;False;-;False;False;-;3;56,99;€;2025-04-14;
articleRow1809748702;NidaeliCo;Spain;Private;6,0;715,0;Spanish;NM;False;-;False;True;NM Card just picked // Top Loader  // Ask for photos  // Lower prices now just to gain your trust :);1;56,99;€;2025-04-14;
articleRow1814196187;Danielsogaard;Denmark;Private;63,0;327,0;English;NM;False;-;True;True;Can send more photos;1;57,0;€;2025-04-14;
articleRow1821533256;MiketerMaat1995;Netherlands;Private;114,0;127,0;English;NM;False;-;False;False;-;1;57,5;€;2025-04-14;
articleRow1778016160;KEEPSEVEN;Germany;Professional;30715,0;7475,0;German;NM;False;-;False;True;Your LGS based in Lübeck | ##A152.299##;1;57,74;€;2025-04-14;
articleRow1806853936;Minudo;Spain;Private;64,0;1617,0;Spanish;NM;False;-;False;True;From booster to sleeve + toploader New seller, Fast shipping!;2;57,95;€;2025-04-14;
articleRow1817082509;Twinleafs;Netherlands;Professional;4354,0;5720,0;English;NM;False;-;False;True;More Crown Zenith cards available! - Fast shipping - Ask for pictures!;1;58,0;€;2025-04-14;
articleRow1798899788;Pokekili88;Germany;Private;21,0;7,0;German;NM;False;-;False;False;-;1;58,76;€;2025-04-14;
articleRow1813822883;mirmex;Italy;Professional;1283,0;4091,0;Italian;EX;False;-;False;True;Over 8k feedback on other marketplace;1;59,0;€;2025-04-14;
articleRow1745061719;Exalint;Germany;Private;209,0;7,0;English;NM;False;-;False;True;Shipped in Toploader;1;59,0;€;2025-04-14;
articleRow1812043835;romaschuetz;Germany;Private;17,0;66,0;German;NM;False;-;True;False;-;1;59,0;€;2025-04-14;
articleRow1818250439;RBhotzenplotz;Germany;Private;8,0;21,0;German;NM;False;-;True;True;Booster >Sleeve > Toploader /ask for backsite;1;59,0;€;2025-04-14;
articleRow1785175919;Nick-V;Belgium;Private;23,0;11,0;English;NM;False;-;True;True;Direct from pack to sleeve;1;59,5;€;2025-04-14;
articleRow1809238986;bento281;Poland;Private;1,0;2,0;English;NM;False;-;True;False;-;1;59,5;€;2025-04-14;
articleRow1794979834;Rabbit85zh;Switzerland;Private;299,0;385,0;English;NM;False;-;False;True;(kann auch aus DE abgeschickt werden) weitere Bildern PN wenn gewünscht;1;59,9;€;2025-04-14;
articleRow1800279871;LeandraJasmin;Germany;Private;65,0;12,0;German;NM;False;-;False;True;Toploader;1;59,9;€;2025-04-14;
articleRow1799740000;Stefan65;Netherlands;Professional;3356,0;3280,0;English;NM;False;-;False;True;From booster to sleeve;1;59,95;€;2025-04-14;
articleRow1807565259;eriic26;Spain;Private;0,0;6,0;Spanish;NM;False;-;False;False;-;1;59,95;€;2025-04-14;
articleRow1790422103;FactoryCards;Spain;Professional;5687,0;1662,0;Spanish;NM;False;-;False;False;-;1;59,98;€;2025-04-14;
articleRow1821872136;TiendaMulligan;Spain;Professional;2515,0;674,0;Spanish;NM;False;-;False;False;-;1;59,99;€;2025-04-14;
articleRow1820875255;ShinyHunterStore;Spain;Private;1753,0;5156,0;English;NM;False;-;False;True;Sleeve+Toploader;1;59,99;€;2025-04-14;
articleRow1812597511;CHellaStore;Germany;Professional;1591,0;3872,0;English;NM;False;-;False;True;booster to sleeve - send in toploader;1;59,99;€;2025-04-14;
