idOferta;nick;pais;tipoVendedor;ventas;stock;language;quality;hayIconoEsp;iconoEsp;hayFoto;hayComentario;comentario;quantity;precio;moneda;finiOferta;ffinOferta
articleRow1776272623;gabrielcovone;Spain;Private;214,0;11,0;Spanish;NM;False;-;False;True;DM for Photos;1;160,0;€;2025-02-01;2025-02-04
articleRow1769933316;artemio96;Spain;Private;0,0;2,0;Spanish;MT;False;-;True;True;Gradeada 8,5 EG, escribidme antes de comprarla;1;169,0;€;2025-02-01;2025-02-06
articleRow1771519299;JimJohns;France;Private;237,0;4024,0;French;EX;False;-;False;True;Photo sur demande :);1;174,89;€;2025-02-01;2025-04-10
articleRow1772336821;briceatz;France;Private;83,0;71,0;French;EX;False;-;False;False;-;1;174,9;€;2025-02-01;2025-04-10
articleRow1448063522;Brisson4;Spain;Private;0,0;2,0;Spanish;NM;False;-;False;True;sleeved and toploader;1;180,0;€;2025-02-01;2025-04-10
articleRow1777682115;Whiskit;Germany;Private;114,0;14,0;German;NM;False;-;False;False;-;1;185,0;€;2025-02-01;2025-02-01
articleRow1761322147;Dome1995;Germany;Private;3499,0;2780,0;German;NM;False;-;False;False;-;1;190,0;€;2025-02-01;2025-02-04
articleRow1775899265;Joell99;Germany;Private;198,0;2,0;German;NM;False;-;False;False;-;1;190,0;€;2025-02-01;2025-02-05
articleRow1775281985;YanisL;France;Private;7,0;64,0;French;MT;False;-;True;True;Sleeve + envoi soigné;1;190,0;€;2025-02-01;2025-02-06
articleRow1772572753;newyorkknicksfan92;Germany;Private;198,0;3,0;German;NM;False;-;True;False;-;1;194,0;€;2025-02-01;2025-04-10
articleRow1773068738;Olli-Baba;Germany;Private;297924,0;1609,0;German;NM;False;-;False;False;-;1;194,99;€;2025-02-01;2025-02-05
articleRow1777300549;michaelmarco;Germany;Private;0,0;9,0;German;NM;False;-;True;True;Booster Sleeve Toploader, Sammlungsauflösung;1;195,0;€;2025-02-01;2025-02-04
articleRow1774687647;TopCutGames;United Kingdom;Professional;305,0;1155,0;English;EX;False;-;False;True;Print line along back;1;197,12;€;2025-02-01;2025-02-04
articleRow1772231625;Bloks;France;Private;486,0;628,0;French;NM;False;-;False;False;-;1;199,0;€;2025-02-01;2025-04-10
articleRow1775728434;Flo15;Austria;Professional;1854,0;79,0;German;NM;False;-;False;False;-;1;200,0;€;2025-02-01;
articleRow1773359725;Tema6;France;Private;73,0;10,0;French;NM;False;-;True;True;Very good condition, but printline on the back MP for more pictures;1;200,0;€;2025-02-01;2025-02-04
articleRow1772486592;devilpunk89;Germany;Private;64,0;7,0;German;NM;False;-;True;True;Für mehr bilder einfach fragen. Booster to sleeve - send in Toploader,;1;200,0;€;2025-02-01;2025-02-06
articleRow1775859467;Phraide;France;Private;46,0;17,0;French;NM;False;-;False;True;Possibilité de lot avec Dialga et Arceus Gold;1;200,0;€;2025-02-01;2025-02-04
articleRow1771280854;Yackito;France;Private;0,0;5,0;French;NM;False;-;False;True;NM/Photo en PV;1;209,99;€;2025-02-01;2025-04-10
articleRow1778311223;KapitanOlson;Poland;Private;28,0;11,0;English;NM;False;-;True;True;next day shipping;1;210,0;€;2025-02-01;2025-02-04
articleRow1778575335;FITCARDSTORE;Netherlands;Private;0,0;1,0;English;MT;False;-;True;True;SHIPPED WITH CARE. ASK FOR MORE PICS.;1;210,0;€;2025-02-01;2025-02-04
articleRow1777995503;Femzon;Slovakia;Private;79,0;11,0;English;NM;False;-;True;False;-;1;215,99;€;2025-02-01;2025-02-04
articleRow1769977994;JeanMiLeYugiyeur;France;Private;1268,0;7326,0;French;NM;False;-;False;True;double sleeve + toplader : photo sur demande;1;219,0;€;2025-02-01;2025-02-04
articleRow1775060589;flyas;Netherlands;Private;237,0;2009,0;English;NM;False;-;False;True;Packfresh sleeved + Toploader;1;219,95;€;2025-02-01;2025-04-10
articleRow1774644242;sgassner93;Austria;Private;3630,0;617,0;German;NM;False;-;False;False;-;1;219,98;€;2025-02-01;2025-04-10
articleRow1767896572;HomgCards;Germany;Professional;8583,0;2056,0;German;NM;False;-;False;False;-;1;219,99;€;2025-02-01;2025-04-10
articleRow1761748100;Jumpiolo;Spain;Private;466,0;312,0;Spanish;NM;False;-;False;False;-;1;220,0;€;2025-02-01;2025-04-10
articleRow1770787351;thais-bg;France;Private;345,0;769,0;French;NM;False;-;False;True;sleeve + toploader;1;220,0;€;2025-02-01;
articleRow1769132894;xZombiie;Germany;Private;107,0;310,0;German;NM;False;-;False;True;Max. 50 cards per order :) | Booster to TL;1;220,0;€;2025-02-01;2025-04-10
articleRow1768092725;kurdwanow;France;Private;111,0;790,0;French;NM;False;-;False;True;Booster > Sleeve;1;220,0;€;2025-02-01;2025-04-14
articleRow1776916168;kenzoZC;Netherlands;Private;5,0;9,0;English;NM;False;-;True;True;Dm for more pictures;1;220,0;€;2025-02-01;2025-04-10
articleRow1770982823;Malcolm;France;Private;1,0;7,0;French;NM;False;-;False;False;-;1;220,0;€;2025-02-01;
articleRow1764167935;Massterfreak;Spain;Private;344,0;292,0;Spanish;NM;False;-;True;False;-;1;225,0;€;2025-02-01;2025-04-10
articleRow1771604398;paeme;Belgium;Private;111,0;135,0;English;NM;False;-;False;True;NM. No whitening.   decent but not perfect centering;1;227,0;€;2025-02-01;2025-04-10
articleRow1771417400;JBTradingCards1;Germany;Professional;437,0;557,0;German;NM;False;-;False;True;Boosterfrisch inkl. Toploader inkl. Mwst.;1;229,99;€;2025-02-01;2025-04-10
articleRow1770636860;DORCXUS;France;Private;100,0;103,0;French;NM;False;-;False;False;-;1;230,0;€;2025-02-01;2025-04-10
articleRow1774497434;nortontcg;United Kingdom;Professional;531,0;1895,0;English;NM;False;-;False;False;-;1;232,84;€;2025-02-01;2025-02-04
articleRow1767562610;adzsouth;United Kingdom;Private;679,0;112,0;English;NM;False;-;False;True;Pack > sleeve > protector > fast dispatch;1;232,85;€;2025-02-01;2025-02-04
articleRow1763798777;RYTEE;Germany;Private;223,0;25309,0;English;NM;False;-;True;False;-;1;233,99;€;2025-02-01;2025-02-04
articleRow1771509881;PokePackCollectors;United Kingdom;Private;138,0;63,0;English;NM;False;-;False;False;-;1;234,08;€;2025-02-01;2025-02-04
articleRow1775189482;PikazardEU;Slovakia;Professional;1756,0;2167,0;English;NM;False;-;False;False;-;1;235,0;€;2025-02-01;2025-02-04
articleRow1765160337;CardEmpireSK;Slovakia;Professional;27173,0;30090,0;English;NM;False;-;False;True;Wide selection, B2B possible;1;239,95;€;2025-02-01;2025-02-04
articleRow1761422617;Lynya;Germany;Private;472,0;145,0;English;NM;False;-;True;False;-;1;240,0;€;2025-02-01;2025-02-05
articleRow1766661408;Rensieboy03;Netherlands;Professional;310,0;74,0;English;NM;False;-;False;False;-;1;240,0;€;2025-02-01;2025-04-10
articleRow1769455314;Psyduck96;United Kingdom;Private;87,0;175,0;English;NM;False;-;False;False;-;1;240,24;€;2025-02-01;2025-02-04
articleRow1777308550;TCGMafiaEU;Slovenia;Private;0,0;17,0;English;NM;False;-;True;True;Fresh, sleeve, toploader/ no whitening;1;242,99;€;2025-02-01;2025-04-10
articleRow1767204914;Sporti;Germany;Private;1025,0;1272,0;German;NM;False;-;False;True;Great condition- ask for pictures;1;245,0;€;2025-02-01;
articleRow1777995850;Mr-Fox;Belgium;Private;477,0;8,0;English;NM;False;-;False;True;from booster to sleeve PSA 10 Worthy;1;245,0;€;2025-02-01;2025-04-10
articleRow1773635220;Kenai23;Spain;Private;3,0;15,0;French;MT;False;-;True;True;PSA 9;1;248,99;€;2025-02-01;2025-02-04
articleRow1769731386;Dpech94;Italy;Private;16,0;692,0;English;NM;False;-;True;True;pack fresh - fast shipping in toploader + 3d printed custom case;1;249,0;€;2025-02-01;
articleRow1772400308;Jackiastuce;France;Private;3,0;2,0;French;MT;False;-;True;True;Gradée 9.5 / SGS;1;249,0;€;2025-02-01;2025-04-10
articleRow1773122708;InfinityPokeFinds;Belgium;Private;209,0;2086,0;English;NM;False;-;False;True;Safe & Fast Shipping;1;249,99;€;2025-02-01;2025-02-04
articleRow1778456089;MLingler7;Austria;Private;2047,0;5072,0;German;NM;False;-;False;True;Boosterfrisch im Toploader;1;250,0;€;2025-02-01;2025-04-10
articleRow1770868083;Rosambo;Czech Republic;Private;627,0;342,0;English;NM;False;-;True;True;Send with Sleeve + Toploader;1;250,0;€;2025-02-01;2025-02-04
articleRow1766270046;187Fantome;France;Private;28,0;2025,0;French;NM;False;-;False;True;Pas d envoi à récupérer sur place prix en M.P.;1;250,0;€;2025-02-01;
articleRow1740050194;TuathaDeDanaan;Germany;Private;10,0;2,0;German;NM;False;-;True;True;Booster To Sleeve. Comes with Toploader;1;250,0;€;2025-02-01;2025-04-10
articleRow1575773667;Alberti89;Spain;Private;0,0;4,0;English;NM;False;-;False;True;European Grading 9;1;250,0;€;2025-02-01;2025-04-10
articleRow1771003779;pokeglobe;France;Private;0,0;27,0;French;NM;False;-;False;True;booster>sleeve>toploader / please ask for photos;1;250,0;€;2025-02-01;2025-04-10
articleRow1777294692;Finnpower0404;Germany;Private;26,0;10,0;German;MT;False;-;True;True;AP Grading 8.5 Near Mint Mint;1;255,0;€;2025-02-01;2025-04-10
articleRow1775658536;Vinisinho97;Spain;Private;5,0;1,0;English;MT;False;-;True;True;PSA 9;1;255,0;€;2025-02-01;2025-02-06
articleRow1773494155;pokeherz;Germany;Professional;1097,0;325,0;German;MT;False;-;False;True;PSA 9;1;260,0;€;2025-02-01;2025-02-04
