idOferta;nick;pais;tipoVendedor;ventas;stock;language;quality;hayIconoEsp;iconoEsp;hayFoto;hayComentario;comentario;quantity;precio;moneda;finiOferta;ffinOferta
articleRow1744915360;SilverVenom;Germany;Private;23,0;2,0;German;PO;False;-;False;True;Mit Toploader;1;10,0;€;2025-04-10;
articleRow1486193214;lucacecco02;Italy;Private;200,0;13,0;Italian;PO;False;-;False;False;-;1;12,0;€;2025-04-10;
articleRow1770476746;Diapson;Italy;Professional;5521,0;1937,0;Italian;PO;False;-;False;True;K-3;1;12,99;€;2025-04-10;
articleRow1768515340;Plegu;Finland;Private;33,0;1094,0;English;PO;False;-;True;True;ask for pics - more vintage HOLOS available!;1;14,99;€;2025-04-10;
articleRow1400065996;DailyTrading;Italy;Professional;22917,0;57800,0;Italian;PO;False;-;False;True;~ DailyTrading ~;1;15,0;€;2025-04-10;
articleRow1470685291;CelebiCollectables;Netherlands;Professional;5911,0;33783,0;English;PL;False;-;False;True;Thousands of English and Japanese Cards Available! Holo's and Bulk! Old + Modern!;1;19,99;€;2025-04-10;
articleRow1805588486;Juergen121;Germany;Private;614,0;275,0;German;PO;False;-;False;False;-;1;20,0;€;2025-04-10;
articleRow1493931630;Lorek;Germany;Private;672,0;139,0;German;LP;False;-;False;False;-;1;24,2;€;2025-04-10;
articleRow1779276936;DerHaarische;Germany;Private;398,0;874,0;German;LP;False;-;False;False;-;1;25,0;€;2025-04-10;
articleRow1749335178;KG1910;Germany;Private;73,0;2,0;German;GD;False;-;False;True;gute Vorderseite, schlechte Rückseite (pls ask for pics);1;25,0;€;2025-04-10;
articleRow1492932037;CardGameCorner;Italy;Private;125377,0;192592,0;Italian;PO;False;-;False;False;-;1;25,74;€;2025-04-10;
articleRow1807693708;Aloulo93;Finland;Private;200,0;12433,0;English;PL;False;-;False;True;Diamond&Pearl binder;1;28,0;€;2025-04-10;2025-04-14
