idOferta;nick;pais;tipoVendedor;ventas;stock;language;quality;hayIconoEsp;iconoEsp;hayFoto;hayComentario;comentario;quantity;precio;moneda;finiOferta;ffinOferta
articleRow1803152650;TheDavinschiii;Germany;Private;109,0;85,0;S-Chinese;NM;False;-;False;True;Toploader/sleeves;1;4,0;€;2025-04-10;2025-04-14
articleRow1788015600;PokeBrixx;Germany;Professional;635,0;4855,0;S-Chinese;NM;False;-;False;True;incl. 19% VAT many more cards available 1;1;5,48;€;2025-04-10;
articleRow1820208973;Fancycards24;Germany;Professional;1495,0;2148,0;Korean;NM;False;-;False;False;-;1;5,89;€;2025-04-10;
articleRow1811801856;ErMario;Italy;Private;75,0;4,0;Japanese;EX;False;-;False;False;-;1;5,9;€;2025-04-10;2025-04-14
articleRow1816182636;BushidoTCG;Italy;Private;1533,0;993,0;Japanese;NM;False;-;False;True;3RD - JP/EN Huge store;1;6,4;€;2025-04-10;
articleRow1818002001;Loussies;Netherlands;Professional;717,0;512,0;Japanese;NM;False;-;False;True;More Available - BOX 1;2;6,45;€;2025-04-10;2025-04-14
articleRow1816224808;BushidoTCG;Italy;Private;1504,0;932,0;Japanese;NM;False;-;False;True;FJP - JP/EN Huge store;1;6,49;€;2025-04-10;2025-04-14
articleRow1816874079;Binks-No-Pull;Italy;Private;173,0;83,0;Japanese;NM;False;-;False;False;-;1;6,5;€;2025-04-10;
articleRow1787745912;Kartexpol;Poland;Professional;98,0;49,0;Japanese;NM;False;-;False;False;-;1;6,5;€;2025-04-10;
articleRow1810330184;YugiPilo;Italy;Private;107,0;1158,0;Japanese;NM;False;-;False;True;booster to sleeve;1;6,9;€;2025-04-10;2025-04-14
articleRow1805079204;KameHouse1;Italy;Private;16,0;744,0;Japanese;NM;False;-;False;False;-;1;6,9;€;2025-04-10;
articleRow1813184463;CardEmpireSK;Slovakia;Professional;30972,0;32544,0;Japanese;NM;False;-;False;True;Wide Pokemon selection :);1;6,99;€;2025-04-10;
articleRow1819593409;Dantinio;Netherlands;Professional;3218,0;3172,0;Japanese;NM;False;-;False;True;JAPANESE SELLER - Daily shipping;37;7,0;€;2025-04-10;2025-04-14
articleRow1698237807;rubenandregoncalves;Portugal;Private;150,0;88,0;Japanese;NM;False;-;False;False;-;1;7,0;€;2025-04-10;
articleRow1799555397;Tonio16LoL;Italy;Professional;109,0;421,0;Japanese;NM;False;-;False;False;-;3;7,0;€;2025-04-10;
articleRow1801012951;dada97dada;Italy;Private;88,0;172,0;Japanese;NM;False;-;False;True;more card;1;7,0;€;2025-04-10;
articleRow1794865860;zefir1994;Poland;Private;730,0;504,0;Japanese;NM;False;-;True;True;Send Next Day after sell /Card in the sleeve and toploader;1;7,13;€;2025-04-10;
articleRow1795632946;zefir1994;Poland;Private;730,0;504,0;Japanese;NM;False;-;True;True;Send Next Day after sell /Card in the sleeve and toploader;1;7,13;€;2025-04-10;
articleRow1604937841;Filipp0;Italy;Private;30,0;93,0;Japanese;NM;False;-;False;False;-;1;7,2;€;2025-04-10;
articleRow1814186521;Mellusch;Germany;Private;27,0;293,0;Japanese;NM;False;-;False;False;-;1;7,2;€;2025-04-10;
articleRow1816513004;GodzillaTCG;Spain;Private;12,0;148,0;Japanese;NM;False;-;False;True;PERFECT SIZE + TOPLOADER;1;7,49;€;2025-04-10;
articleRow1806119412;BFMSILVA;Netherlands;Professional;3,0;121,0;Japanese;NM;False;-;False;True;ask for photos;1;7,5;€;2025-04-10;
articleRow1809836645;Kraken;Italy;Professional;1432,0;853,0;Japanese;NM;False;-;False;False;-;1;7,89;€;2025-04-10;
articleRow1820379038;SouthWestTradingTeam;Germany;Professional;4565,0;1993,0;Japanese;NM;False;-;False;True;Pictures on request / Fotos auf Anfrage (B3) // DS202503-361;1;7,9;€;2025-04-10;2025-04-14
articleRow1805345749;mirmex;Italy;Professional;1283,0;4091,0;Japanese;NM;False;-;False;True;Over 8k feedback on other marketplace;2;7,9;€;2025-04-10;
articleRow1817559388;PokecardzDE;Germany;Professional;2646,0;1745,0;Japanese;NM;False;-;False;False;-;1;7,95;€;2025-04-10;
articleRow1791512742;PokeMies;Netherlands;Private;0,0;5,0;Japanese;NM;False;-;True;True;In sleeve and toploader;1;7,95;€;2025-04-10;
articleRow1772119956;Mjadrake;Portugal;Professional;3752,0;1934,0;Japanese;NM;False;-;True;True;Same day shipping - Sleeve + Toploader;1;7,98;€;2025-04-10;
articleRow1818949069;OldAmberTCG;Czech Republic;Private;571,0;1172,0;Japanese;NM;False;-;False;True;Cheap shipping :);1;7,99;€;2025-04-10;
articleRow1802070634;piot98;Italy;Private;46,0;124,0;Japanese;NM;False;-;True;True;LOT OF 151 POKEBALL IN MY PROFILE, CHECK;1;8,0;€;2025-04-10;
articleRow1783697114;B-and-C;France;Private;33,0;66,0;Japanese;NM;False;-;False;True;Sleeve + toploader (ask for pics);1;8,0;€;2025-04-10;
