idOferta;nick;pais;tipoVendedor;ventas;stock;language;quality;hayIconoEsp;iconoEsp;hayFoto;hayComentario;comentario;quantity;precio;moneda;finiOferta;ffinOferta
articleRow1820996103;mohamedelmoroloko;Spain;Private;5,0;2,0;Japanese;NM;False;-;False;False;-;1;35,0;€;2025-04-14;
articleRow1816667735;ShinyTCG;France;Professional;71,0;97,0;Japanese;EX;False;-;False;True;one little dent on top back;1;35,99;€;2025-04-14;
articleRow1822244222;MrSyra;France;Private;51,0;74,0;Japanese;NM;False;-;True;True;See picture;1;39,99;€;2025-04-14;
articleRow1805057120;JohnnyLoco86;Finland;Private;26,0;307,0;Japanese;NM;False;-;True;True;Ask for more pics :);1;40,0;€;2025-04-14;
articleRow1816086757;DonStinoo;Netherlands;Private;9,0;9,0;Japanese;NM;False;-;False;True;Ask for Photo's | Fast Shipping;1;40,0;€;2025-04-14;
articleRow1803032477;Dantinio;Netherlands;Professional;3224,0;2539,0;Japanese;NM;False;-;False;True;JAPANESE SELLER - Daily shipping;19;44,0;€;2025-04-14;
articleRow1820400116;cardandsoul;Germany;Professional;259,0;130,0;Japanese;NM;False;-;False;True;Sleeve + Toploader (differenzbesteuert);1;44,0;€;2025-04-14;
articleRow1812441756;XRAYTCG;Netherlands;Private;194,0;1320,0;Japanese;NM;False;-;True;True;Very clean;1;44,9;€;2025-04-14;
articleRow1815207010;Gameland-Groningen;Netherlands;Private;241,0;72,0;Japanese;NM;False;-;False;True;With Sleeve & Toploader;1;44,95;€;2025-04-14;
articleRow1815268550;ChimeraTrading;Italy;Professional;4422,0;10827,0;Japanese;NM;False;-;False;True;POKEMON 0001- A34;1;44,99;€;2025-04-14;
articleRow1815275880;ChimeraTrading;Italy;Professional;4422,0;10827,0;Japanese;NM;False;-;False;True;POKEMON 0001- A35;1;44,99;€;2025-04-14;
articleRow1820981210;PacoTradingCards;Italy;Professional;1064,0;507,0;Japanese;NM;False;-;False;True;P1 check my minimum price cards;1;45,0;€;2025-04-14;
articleRow1782247851;Balinat0r;Netherlands;Professional;817,0;5403,0;Japanese;NM;False;-;True;True;DH20;1;45,0;€;2025-04-14;
articleRow1782248012;Balinat0r;Netherlands;Professional;817,0;5403,0;Japanese;NM;False;-;True;True;DH19;1;45,0;€;2025-04-14;
articleRow1788371563;Fazero;Germany;Private;408,0;224,0;Japanese;NM;False;-;False;True;PSA 8;1;45,0;€;2025-04-14;
articleRow1808340404;edodoc;Italy;Private;156,0;163,0;Japanese;NM;False;-;False;False;-;1;45,0;€;2025-04-14;
articleRow1821861952;Brulo2112;Spain;Private;102,0;12,0;Japanese;NM;False;-;False;False;-;1;45,0;€;2025-04-14;
articleRow1802328071;sennehuth6;Belgium;Private;31,0;26,0;Japanese;NM;False;-;False;True;Sleeve + toploader;1;45,0;€;2025-04-14;
articleRow1821401664;Robert72;Austria;Private;681,0;838,0;Japanese;NM;False;-;False;False;-;1;46,99;€;2025-04-14;
articleRow1687479383;ctephany;France;Private;63,0;12,0;Japanese;NM;False;-;False;False;-;1;48,0;€;2025-04-14;
articleRow1776816692;Leomessi;Switzerland;Private;84,0;369,0;Japanese;NM;False;-;False;False;-;1;48,99;€;2025-04-14;
articleRow1811776240;SharkSlabs;Germany;Professional;2383,0;3346,0;Japanese;NM;False;-;False;True;Buying cards;1;49,0;€;2025-04-14;
articleRow1805420057;Bombocards;Italy;Professional;2118,0;2108,0;Japanese;NM;False;-;False;False;-;4;49,0;€;2025-04-14;
articleRow1811764581;PoKeBergTCG;Germany;Professional;5545,0;2500,0;Japanese;NM;False;-;False;True;Lot of Art Rares in Stock !;6;49,89;€;2025-04-14;
articleRow1812256686;JK-Entertainment;Germany;Private;427806,0;15872,0;Japanese;NM;False;-;False;True;- We buy single cards, collections and bulk;4;49,9;€;2025-04-14;
articleRow1509460678;Nagumi;Germany;Professional;12926,0;13026,0;Japanese;NM;False;-;True;True;ST;1;49,98;€;2025-04-14;
articleRow1810393484;Nagumi;Germany;Professional;12926,0;13026,0;Japanese;NM;False;-;False;False;-;1;49,98;€;2025-04-14;
articleRow1778136076;EveryCardTCG;Germany;Professional;4674,0;163647,0;Japanese;NM;False;-;False;True;sleeved;4;49,99;€;2025-04-14;
articleRow1817734654;rass00;Italy;Private;1,0;20,0;Japanese;NM;False;-;False;False;-;1;49,99;€;2025-04-14;
articleRow1806717328;DHMcards;Spain;Private;782,0;2328,0;Japanese;NM;False;-;False;True;You can request photos without obligation. The best prices.;1;50,0;€;2025-04-14;
